Nama Rumah,Harga,Cicilan,Lokasi,Keterangan
Perumahan Grand Mahkota 1,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Babelan, Kabupaten bekasi",LT 72 m²LB 90 m²KM 2KT 4
Clusters The Oasis At Bintaro,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Pondok aren, Kota tangerang selatan",LT 57 m²LB 62 m²KM 2KT 3
Poris Indah,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Cipondoh, Kota tangerang",LT 51 m²LB 102 m²KM 2KT 2
"Komplek Taman Harapan Baru, Medansatria - Kota Bekasi",Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Medansatria, Kota bekasi",LT 90 m²LB 115 m²KM 3KT 4
Komplek Mutiara Depok,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Sukmajaya, Kota depok",LT 105 m²LB 82 m²KM 2KT 2
Town House The Villas ,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Serpong, Kota tangerang selatan",LT 51 m²LB 60 m²KM 2KT 2
Trevista Residence,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Ciputat, Kota tangerang selatan",LT 72 m²LB 40 m²KM 1KT 3
Komplek Taman Pabuaran,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Karawaci, Kota tangerang",LT 78 m²LB 94 m²KM 2KT 2
Perumahan Cambela Permai,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Kalideres, Kota jakarta barat",LT 111 m²LB 60 m²KM 2KT 3
Telaga Golf Sawangan,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Sawangan, Kota depok",LT 134 m²LB 110 m²KM 2KT 3
Duta Indah Residence Cluster Jade,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Periuk, Kota tangerang",LT 90 m²LB 150 m²KM 3KT 3
Perumahan Harapan Indah,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Medansatria, Kota bekasi",LT 80 m²LB 132 m²KM 3KT 3
Jalan Tatya Asri III,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Sukaraja, Kabupaten bogor",LT 84 m²LB 84 m²KM 2KT 2
Komplek Kehutanan Bondongan,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Bogor selatan, Kota bogor",LT 163 m²LB 120 m²KM 2KT 3
Pondok Sukmajaya Permai,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Sukmajaya, Kota depok",LT 108 m²LB 90 m²KM 2KT 3
Magnolia park 3,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Cipondoh, Kota tangerang",LT 72 m²LB 104 m²KM 2KT 3
Perumahan Bukit Dago,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Gunung sindur, Kabupaten bogor",LT 89 m²LB 77 m²KM 2KT 2
Perumahan Taman Cipayung Blok 8 no 39 Kelurahan Abadijaya Kecamatan Sukmajaya,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Sukmajaya, Kota depok",LT 72 m²LB 120 m²KM 3KT 3
Vila Pamulang,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Pamulang, Kota tangerang selatan",LT 100 m²LB 160 m²KM 2KT 4
Komplek Kresek,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Cengkareng, Kota jakarta barat",LT 120 m²LB 120 m²KM 1KT 3
Villa Nusa Indah 5,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Gunung putri, Kabupaten bogor",LT 105 m²LB 68 m²KM 1KT 2
Cinere Garden Court,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Limo, Kota depok",LT 89 m²LB 120 m²KM 2KT 5
Grand Bintaro Asri,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Ciputat, Kota tangerang selatan",LT 72 m²LB 56 m²KM 1KT 2
Rafless Hills,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Cimanggis, Kota depok",LT 90 m²LB 47 m²KM 1KT 2
Permata Indah Residence,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Bogor barat, Kota bogor",LT 116 m²LB 90 m²KM 2KT 3
Griya Metropolitan 2,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Bekasi selatan, Kota bekasi",LT 114 m²LB 75 m²KM 2KT 2
Myza Flathouse,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Pagedangan, Kabupaten tangerang",LT 30 m²LB 41 m²KM 2KT 1
Taman Sari Bukit Damai,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Gunung sindur, Kabupaten bogor",LT 200 m²LB 150 m²KM 3KT 3
Villa Rizki Ilhami 2 Cluster Arafah,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Sawangan, Kota depok",LT 121 m²LB 88 m²KM 1KT 2
Cibubur Residence,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Jatisampurna, Kota bekasi",LT 90 m²LB 70 m²KM 1KT 2
Kayu Manis Park View,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Pamulang, Kota tangerang selatan",LT 60 m²LB 72 m²KM 1KT 3
Pamulang Estate,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Pamulang, Kota tangerang selatan",LT 120 m²LB 160 m²KM 3KT 4
Citra Sentul Raya Cluster Orinoco,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Citeureup, Kabupaten bogor",LT 96 m²LB 49 m²KM 1KT 2
Cluster D'Cataluna,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Cikarang utara, Kabupaten bekasi",LT 49 m²LB 57 m²KM 2KT 2
Perumahan Harapan Baru,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Bekasi barat, Kota bekasi",LT 94 m²LB 189 m²KM 3KT 5
Perumahan Pamulang Vila,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Pamulang, Kota tangerang selatan",LT 110 m²LB 150 m²KM 2KT 4
Paradise Serpong Cluster Lightscape,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Setu, Kota tangerang selatan",LT 50 m²LB 55 m²KM 2KT 2
Serpong Garden 1 Cluster Green Studentia,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Cisauk, Kabupaten tangerang",LT 98 m²LB 70 m²KM 2KT 3
Jalan Masjid Raya,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Larangan, Kota tangerang",LT 170 m²LB 160 m²KM 2KT 4
Villa Mutiara Cinere,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Limo, Kota depok",LT 70 m²LB 210 m²KM 3KT 5
Citraland Cibubur Cluster Monterey,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Cileungsi, Kabupaten bogor",LT 84 m²LB 61 m²KM 1KT 2
De Viva Bintaro,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Pondok aren, Kota tangerang selatan",LT 60 m²LB 80 m²KM 2KT 2
Graha Laras Sentul Cluster Hamburg,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Sukaraja, Kabupaten bogor",LT 72 m²LB 67 m²KM 2KT 3
Perumahan Grand Residence Cluster Dharmawangsa,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Setu, Kabupaten bekasi",LT 60 m²LB 36 m²KM 1KT 2
Perumahan Mutiara Gading Timur,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Mustikajaya, Kota bekasi",LT 136 m²LB 240 m²KM 3KT 6
Mutiara Depok,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Sukmajaya, Kota depok",LT 112 m²LB 107 m²KM 2KT 2
Jalan Harapan,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Pancoran mas, Kota depok",LT 126 m²LB 164 m²KM 3KT 4
Jalan Mahoni 2,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Bekasi timur, Kota bekasi",LT 138 m²LB 138 m²KM 2KT 3
Serpong Park Cluster Fluorite Terrace,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Setu, Kota tangerang selatan",LT 79 m²LB 81 m²KM 3KT 3
Wellington Residence Pamulang,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Pamulang, Kota tangerang selatan",LT 90 m²LB 130 m²KM 3KT 4
Pratama Regency,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Cibinong, Kabupaten bogor",LT 144 m²LB 200 m²KM 3KT 3
Cluster Sudimara Jombang,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Ciputat, Kota tangerang selatan",LT 68 m²LB 42 m²KM 1KT 3
Cimone Mas Permai,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Karawaci, Kota tangerang",LT 117 m²LB 80 m²KM 1KT 2
Pondok Mutiara Asri,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Cipayung, Kota depok",LT 136 m²LB 120 m²KM 2KT 3
Perumahan Duta Bintaro,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Pinang, Kota tangerang",LT 78 m²LB 80 m²KM 1KT 2
Jalan Raya Gunung Putri,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Gunung putri, Kabupaten bogor",LT 134 m²LB 160 m²KM 3KT 4
Pamulang Permai ,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Pamulang, Kota tangerang selatan",LT 128 m²LB 69 m²KM 2KT 3
Villa Bogor Indah 3,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Bogor utara, Kota bogor",LT 121 m²LB 121 m²KM 2KT 3
Jalan H. Musa,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Limo, Kota depok",LT 120 m²LB 200 m²KM 2KT 4
Lavon Swan City,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Sindang jaya, Kabupaten tangerang",LT 103 m²LB 101 m²KM 3KT 4
Komplek Bappenas Parung,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Sawangan, Kota depok",LT 147 m²LB 200 m²KM 3KT 5
Villa Berlian Curug,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Beji, Kota depok",LT 108 m²LB 65 m²KM 2KT 3
Jalan Rivera Hill,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Limo, Kota depok",LT 72 m²LB 216 m²KM 3KT 5
Pamulang Permai 1,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Pamulang, Kota tangerang selatan",LT 144 m²LB 154 m²KM 3KT 3
Pinang Green Residence Pamulang,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Pamulang, Kota tangerang selatan",LT 120 m²LB 80 m²KM 2KT 2
Pondok Sukatani Permai Depok,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Tapos, Kota depok",LT 124 m²LB 150 m²KM 1KT 3
Jalan Jatinegara Timur,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Jatinegara, Kota jakarta timur",LT 55 m²LB 90 m²KM 3KT 4
Jalan Delima 4 Tangerang,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Cipondoh, Kota tangerang",LT 115 m²LB 80 m²KM 2KT 3
Perumahan Megah Aryana Tangerang,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Curug, Kabupaten tangerang",LT 72 m²LB 83 m²KM 2KT 4
Pamulang Estate,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Pamulang, Kota tangerang selatan",LT 139 m²LB 89 m²KM 2KT 3
Jalan Pulosirih Tengah,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Bekasi selatan, Kota bekasi",LT 88 m²LB 110 m²KM 2KT 3
Pulo Jahe Cakung,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Cakung, Kota jakarta timur",LT 69 m²LB 138 m²KM 2KT 3
Sawangan Village Cluster Bukit Petro,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Sawangan, Kota depok",LT 103 m²LB 45 m²KM 2KT 2
Jalan Sastra Kencana 1,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Serpong, Kota tangerang selatan",LT 84 m²LB 50 m²KM 1KT 2
Jalan Rimba Bakti,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Bogor barat, Kota bogor",LT 232 m²LB 102 m²KM 3KT 4
Jalan Tatapakan 1,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Bogor utara, Kota bogor",LT 120 m²LB 200 m²KM 2KT 7
Perumahan Karawaci Residence,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Kelapa dua, Kabupaten tangerang",LT 90 m²LB 150 m²KM 2KT 4
Bekasi Jaya Indah,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Bekasi timur, Kota bekasi",LT 84 m²LB 160 m²KM 2KT 3
Perumahan Pura Bojong Gede,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Tajurhalang, Kabupaten bogor",LT 208 m²LB 322 m²KM 3KT 5
Perumahan Permata Hijau Permai,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Bekasi utara, Kota bekasi",LT 180 m²LB 250 m²KM 3KT 4
Jalan Puspa 1,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Cengkareng, Kota jakarta barat",LT 107 m²LB 93 m²KM 2KT 3
Perumahan Bogor Raya Permai,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Tanah sareal, Kota bogor",LT 128 m²LB 90 m²KM 2KT 4
Perumahan Puri Kristal,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Ciputat, Kota tangerang selatan",LT 87 m²LB 45 m²KM 2KT 2
Regency Melati Mas,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Serpong utara, Kota tangerang selatan",LT 90 m²LB 61 m²KM 1KT 2
Simprug Garden Residence,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Cikarang timur, Kabupaten bekasi",LT 112 m²LB 122 m²KM 2KT 6
Perumahan Taman Kenari Jagorawi,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Citeureup, Kabupaten bogor",LT 162 m²LB 210 m²KM 2KT 4
Perumahan Taman Duta,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Sukmajaya, Kota depok",LT 135 m²LB 210 m²KM 2KT 4
Perumahan Neo Jurangmangu Barat,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Pondok aren, Kota tangerang selatan",LT 90 m²LB 45 m²KM 1KT 2
Perumahan Batu Ceper Permai,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Batuceper, Kota tangerang",LT 82 m²LB 82 m²KM 1KT 2
Green View Residence,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Bogor barat, Kota bogor",LT 90 m²LB 146 m²KM 2KT 3
Griyo Putro Joyo 2,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Pancoran mas, Kota depok",LT 80 m²LB 120 m²KM 3KT 4
Pondok Karadenan Asri 2,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Cibinong, Kabupaten bogor",LT 84 m²LB 164 m²KM 2KT 3
Perumahan Permata Regency Bekasi,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Cibitung, Kabupaten bekasi",LT 90 m²LB 205 m²KM 3KT 4
Komplek Atsiri Permai,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Bojong gede, Kabupaten bogor",LT 229 m²LB 45 m²KM 2KT 4
Perumahan Pesona Munjul Cipayung,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Cipayung, Kota jakarta timur",LT 96 m²LB 96 m²KM 1KT 2
Perumahan Visar Indah Pratama,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Cibinong, Kabupaten bogor",LT 150 m²LB 130 m²KM 3KT 3
Villa Cinere Hijau,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Cinere, Kota depok",LT 90 m²LB 90 m²KM 3KT 5
Komplek Kimia Farma Hankam,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Ciledug, Kota tangerang",LT 90 m²LB 70 m²KM 2KT 3
Perumahan Mampang Indah,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Pancoran mas, Kota depok",LT 150 m²LB 130 m²KM 2KT 3
Jalan Parung Kujang,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Cileungsi, Kabupaten bogor",LT 285 m²LB 75 m²KM 1KT 2
Komplek Sarana Indah Permai,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Ciputat, Kota tangerang selatan",LT 132 m²LB 90 m²KM 3KT 3
Perumahan Taman Firdaus,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Bogor barat, Kota bogor",LT 179 m²LB 120 m²KM 2KT 3
Pamulang Estate,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Pamulang, Kota tangerang selatan",LT 144 m²LB 64 m²KM 2KT 3
Kota Wisata Cluster Pesona Calgary,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Cileungsi, Kabupaten bogor",LT 90 m²LB 60 m²KM 1KT 2
Serpong Park,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Serpong utara, Kota tangerang selatan",LT 93 m²LB 45 m²KM 2KT 2
Perumahan Villa Rizki Ilhami,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Kelapa dua, Kabupaten tangerang",LT 96 m²LB 36 m²KM 1KT 2
Komplek Merah Delima Residence,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Pondok aren, Kota tangerang selatan",LT 90 m²LB 80 m²KM 2KT 3
Jalan Basuki Sumur Manggis,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Cipayung, Kota jakarta timur",LT 116 m²LB 90 m²KM 1KT 2
Jalan Kayu Gede 1,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Serpong utara, Kota tangerang selatan",LT 142 m²LB 95 m²KM 2KT 3
Jalan Dalang Cipayung,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Cipayung, Kota jakarta timur",LT 84 m²LB 60 m²KM 1KT 2
Sakura Residence,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Pancoran mas, Kota depok",LT 77 m²LB 118 m²KM 3KT 3
Perumahan Suvarna Sutera Cluster Bahana,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Sindang jaya, Kabupaten tangerang",LT 102 m²LB 126 m²KM 2KT 3
Puri Angkasa Residence,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Beji, Kota depok",LT 127 m²LB 107 m²KM 2KT 4
Griya Pamulang Extension,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Pamulang, Kota tangerang selatan",LT 61 m²LB 120 m²KM 2KT 3
Grand Cimandala Residence,Rp 1.380.000.000,Cicilan 13.3 Juta/bulan,"Sukaraja, Kabupaten bogor",LT 119 m²LB 71 m²KM 2KT 3
Jalan Cemara,Rp 1.400.000.000,Cicilan 13.5 Juta/bulan,"Limo, Kota depok",LT 70 m²LB 70 m²KM 1KT 1
Perumahan The Mutiara Sentul,Rp 1.400.000.000,Cicilan 13.5 Juta/bulan,"Babakan madang, Kabupaten bogor",LT 135 m²LB 87 m²KM 2KT 3
Cluster Pesona Ceger Tangerang Selatan,Rp 1.400.000.000,Cicilan 13.5 Juta/bulan,"Pondok aren, Kota tangerang selatan",LT 64 m²LB 70 m²KM 2KT 3
Serpong Park Cluster Emerald,Rp 1.410.000.000,Cicilan 13.6 Juta/bulan,"Serpong utara, Kota tangerang selatan",LT 112 m²LB 55 m²KM 1KT 2
Perumahan Radiance Villa,Rp 1.420.000.000,Cicilan 13.7 Juta/bulan,"Jatisampurna, Kota bekasi",LT 190 m²LB 200 m²KM 3KT 4
Panoramic Garden,Rp 1.420.000.000,Cicilan 13.7 Juta/bulan,"Sukmajaya, Kota depok",LT 75 m²LB 90 m²KM 3KT 4
"Duren Village, Jl. Raya Sawangan",Rp 1.420.000.000,Cicilan 13.7 Juta/bulan,"Pancoran mas, Kota depok",LT 85 m²LB 135 m²KM 3KT 3
Bukit Golf Riverside Cluster Lagoon,Rp 1.420.000.000,Cicilan 13.7 Juta/bulan,"Gunung putri, Kabupaten bogor",LT 60 m²LB 63 m²KM 2KT 3
Villa Regency Tangerang 2,Rp 1.420.000.000,Cicilan 13.7 Juta/bulan,"Pasar kemis, Kabupaten tangerang",LT 184 m²LB 150 m²KM 3KT 3
Serpong Garden 2 Cluster Green Hill,Rp 1.430.000.000,Cicilan 13.8 Juta/bulan,"Cisauk, Kabupaten tangerang",LT 105 m²LB 70 m²KM 2KT 2
Bungur Residence,Rp 1.430.000.000,Cicilan 13.8 Juta/bulan,"Cimanggis, Kota depok",LT 95 m²LB 98 m²KM 3KT 3
Perumahan Graha Harapan,Rp 1.430.000.000,Cicilan 13.8 Juta/bulan,"Mustikajaya, Kota bekasi",LT 144 m²LB 57 m²KM 3KT 2
Perumahan Serpong Park,Rp 1.430.000.000,Cicilan 13.8 Juta/bulan,"Serpong utara, Kota tangerang selatan",LT 104 m²LB 90 m²KM 1KT 2
Perumahan Duta Harapan,Rp 1.430.000.000,Cicilan 13.8 Juta/bulan,"Bekasi utara, Kota bekasi",LT 90 m²LB 70 m²KM 2KT 3
Fleekhauz R ,Rp 1.440.000.000,Cicilan 13.9 Juta/bulan,"Pagedangan, Kabupaten tangerang",LT 48 m²LB 45 m²KM 1KT 2
Metland Cileungsi Cluster Violetta,Rp 1.450.000.000,Cicilan 14 Juta/bulan,"Cileungsi, Kabupaten bogor",LT 144 m²LB 132 m²KM 4KT 3
Cahaya Garuda Residence,Rp 1.450.000.000,Cicilan 14 Juta/bulan,"Bojongsari, Kota depok",LT 112 m²LB 80 m²KM 2KT 2
Perumahan Harvest City,Rp 1.450.000.000,Cicilan 14 Juta/bulan,"Setu, Kabupaten bekasi",LT 120 m²LB 69 m²KM 2KT 3
Permata Cimanggis Cluster Safir,Rp 1.450.000.000,Cicilan 14 Juta/bulan,"Tapos, Kota depok",LT 174 m²LB 60 m²KM 1KT 2
Grand Cibubur Country,Rp 1.450.000.000,Cicilan 14 Juta/bulan,"Gunung putri, Kabupaten bogor",LT 150 m²LB 91 m²KM 1KT 3
Perumahan Bukit Indah,Rp 1.450.000.000,Cicilan 14 Juta/bulan,"Ciputat, Kota tangerang selatan",LT 135 m²LB 70 m²KM 1KT 3
Perumahan Green Pitara,Rp 1.450.000.000,Cicilan 14 Juta/bulan,"Cipayung, Kota depok",LT 100 m²LB 150 m²KM 3KT 4
Rumah di jalan rawa cito Bekasi,Rp 1.450.000.000,Cicilan 14 Juta/bulan,"Pondokmelati, Kota bekasi",LT 130 m²LB 95 m²KM 3KT 3
Cluster Casamais,Rp 1.450.000.000,Cicilan 14 Juta/bulan,"Serpong utara, Kota tangerang selatan",LT 120 m²LB 90 m²KM 2KT 3
Podomoro Golf View,Rp 1.450.000.000,Cicilan 14 Juta/bulan,"Gunung putri, Kabupaten bogor",LT 72 m²LB 45 m²KM 1KT 2
Perumahan Permata Palem Cibinong,Rp 1.450.000.000,Cicilan 14 Juta/bulan,"Cibinong, Kabupaten bogor",LT 108 m²LB 174 m²KM 3KT 4
Villa Inti Persada,Rp 1.450.000.000,Cicilan 14 Juta/bulan,"Pamulang, Kota tangerang selatan",LT 120 m²LB 100 m²KM 2KT 3
Casablanca Premiere Depok,Rp 1.450.000.000,Cicilan 14 Juta/bulan,"Sukmajaya, Kota depok",LT 62 m²LB 77 m²KM 3KT 3
Perumahan Taman Puspa,Rp 1.450.000.000,Cicilan 14 Juta/bulan,"Cimanggis, Kota depok",LT 105 m²LB 70 m²KM 2KT 2
Bukit Cimanggu City Cluster Sherwood Blok KB 7,Rp 1.450.000.000,Cicilan 14 Juta/bulan,"Tanah sareal, Kota bogor",LT 120 m²LB 42 m²KM 1KT 2
The Hills Pondok Cabe,Rp 1.450.000.000,Cicilan 14 Juta/bulan,"Pamulang, Kota tangerang selatan",LT 65 m²LB 54 m²KM 2KT 3
Komplek PDK,Rp 1.450.000.000,Cicilan 14 Juta/bulan,"Bogor utara, Kota bogor",LT 212 m²LB 178 m²KM 6KT 4
Amara Botanica Bintaro,Rp 1.450.000.000,Cicilan 14 Juta/bulan,"Ciputat timur, Kota tangerang selatan",LT 72 m²LB 65 m²KM 2KT 2
Perum Jatikramat,Rp 1.450.000.000,Cicilan 14 Juta/bulan,"Jatiasih, Kota bekasi",LT 84 m²LB 168 m²KM 3KT 4
Villa Bunda 6 Bekasi,Rp 1.450.000.000,Cicilan 14 Juta/bulan,"Jatisampurna, Kota bekasi",LT 78 m²LB 125 m²KM 2KT 4
Griya Kencana 2,Rp 1.450.000.000,Cicilan 14 Juta/bulan,"Ciledug, Kota tangerang",LT 93 m²LB 120 m²KM 1KT 2
Perumahan Pondok Hijau Permai,Rp 1.450.000.000,Cicilan 14 Juta/bulan,"Rawalumbu, Kota bekasi",LT 96 m²LB 152 m²KM 3KT 4
Duta Indah Residence Cluster Alexandrite,Rp 1.450.000.000,Cicilan 14 Juta/bulan,"Periuk, Kota tangerang",LT 60 m²LB 64 m²KM 2KT 2
Jalan Sairin Depok,Rp 1.450.000.000,Cicilan 14 Juta/bulan,"Beji, Kota depok",LT 74 m²LB 100 m²KM 2KT 3
Perumahan Griya Madani Asri,Rp 1.450.000.000,Cicilan 14 Juta/bulan,"Gunung putri, Kabupaten bogor",LT 98 m²LB 150 m²KM 2KT 3
Perumahan Permata Mansion,Rp 1.450.000.000,Cicilan 14 Juta/bulan,"Bojongsari, Kota depok",LT 90 m²LB 45 m²KM 2KT 2
Aryana Karawaci,Rp 1.450.000.000,Cicilan 14 Juta/bulan,"Curug, Kabupaten tangerang",LT 72 m²LB 73 m²KM 2KT 3
Perumahan Sentul City,Rp 1.450.000.000,Cicilan 14 Juta/bulan,"Babakan madang, Kabupaten bogor",LT 108 m²LB 90 m²KM 2KT 3
Komplek Kedung Badak Baru,Rp 1.450.000.000,Cicilan 14 Juta/bulan,"Tanah sareal, Kota bogor",LT 210 m²LB 180 m²KM 2KT 4
Kemang Eminence Bogor,Rp 1.450.000.000,Cicilan 14 Juta/bulan,"Kemang, Kabupaten bogor",LT 84 m²LB 45 m²KM 1KT 2
Gang H. Masim Bayang,Rp 1.450.000.000,Cicilan 14 Juta/bulan,"Jagakarsa, Kota jakarta selatan",LT 60 m²LB 100 m²KM 2KT 4
Perumahan Duren Village,Rp 1.450.000.000,Cicilan 14 Juta/bulan,"Ciledug, Kota tangerang",LT 160 m²LB 115 m²KM 3KT 3
Perumahan Candrabaga Bekasi,Rp 1.450.000.000,Cicilan 14 Juta/bulan,"Babelan, Kabupaten bekasi",LT 98 m²LB 180 m²KM 2KT 3
Paradise Serpong City Cluster Summerland,Rp 1.450.000.000,Cicilan 14 Juta/bulan,"Setu, Kota tangerang selatan",LT 60 m²LB 65 m²KM 2KT 3
Jalan Pepaya 5,Rp 1.450.000.000,Cicilan 14 Juta/bulan,"Cengkareng, Kota jakarta barat",LT 59 m²LB 87 m²KM 2KT 2
Perumahan Virginia Village,Rp 1.450.000.000,Cicilan 14 Juta/bulan,"Kelapa dua, Kabupaten tangerang",LT 48 m²LB 60 m²KM 2KT 1
Perumahan Sukadamai Green Residence,Rp 1.450.000.000,Cicilan 14 Juta/bulan,"Tanah sareal, Kota bogor",LT 146 m²LB 75 m²KM 2KT 2
Waterfront Estate Lippo Cikarang,Rp 1.460.000.000,Cicilan 14.1 Juta/bulan,"Cikarang selatan, Kabupaten bekasi",LT 85 m²LB 68 m²KM 3KT 3
